Dataset,Subset,Algo,Method,Acc,F1,Omega,NLL,ECE
bank-full,inliers,RIPPER,Yager,0.9093841191829212,0.5347003154574133,0.19516420364379883,0.24211390887080655,0.0627039437959839
bank-full,outliers,FOIL,Dempster,0.7745504840940526,0.5935162094763092,0.22147421538829803,0.5719002053406129,0.06291900133601412
bank-full,outliers,FOIL,Vote,0.7648686030428768,0.48484848484848486,0.0,1.9555147049542911,0.0691337897985129
bank-full,outliers,FOIL,Yager,0.7773167358229599,0.5944584382871536,0.31058529019355774,0.45552321383777905,0.04097201210782352
bank-full,outliers,RIPPER,Dempster,0.7524204702627939,0.6133909287257019,0.11458977311849594,0.4837558296711721,0.07879766251784337
bank-full,outliers,RIPPER,Vote,0.7455048409405256,0.4556213017751479,0.0,0.496467857410497,0.05495370457706105
bank-full,outliers,RIPPER,Yager,0.7648686030428768,0.6082949308755761,0.2853103280067444,0.46662154714753856,0.04648380914353805
breast-cancer-wisconsin,inliers,FOIL,Dempster,0.7373737373737373,0.6060606060606061,0.557121753692627,0.6486405571731343,0.20600692875436208
breast-cancer-wisconsin,inliers,FOIL,Vote,0.9494949494949495,0.9090909090909091,0.0,0.8723111035422161,0.035353535352586084
breast-cancer-wisconsin,inliers,FOIL,Yager,0.7373737373737373,0.6060606060606061,0.5875807404518127,0.6517586884424488,0.19714604018736745
breast-cancer-wisconsin,inliers,RIPPER,Dempster,0.9292929292929293,0.8627450980392157,0.4183307886123657,0.5136104033749305,0.3239596722829136
breast-cancer-wisconsin,inliers,RIPPER,Vote,0.9393939393939394,0.8846153846153846,0.0,0.6194996749514164,0.03535353535263643
breast-cancer-wisconsin,inliers,RIPPER,Yager,0.9292929292929293,0.8627450980392157,0.4861268401145935,0.5367362617507446,0.3387245500518492
breast-cancer-wisconsin,outliers,FOIL,Dempster,0.5454545454545454,0.35294117647058826,0.6803012490272522,0.6575091511404882,0.2071334032481261
breast-cancer-wisconsin,outliers,FOIL,Vote,1.0,1.0,0.0,1.0000889005828412e-12,1.000088900582341e-12
breast-cancer-wisconsin,outliers,FOIL,Yager,0.5454545454545454,0.35294117647058826,0.6890769600868225,0.6584587940949246,0.20759312969190186
breast-cancer-wisconsin,outliers,RIPPER,Dempster,0.8181818181818182,0.45,0.6064640879631042,0.6097035168721662,0.3645394063285171
breast-cancer-wisconsin,outliers,RIPPER,Vote,0.9090909090909091,0.47619047619047616,0.0,0.13673430879857043,0.10606060606133341
breast-cancer-wisconsin,outliers,RIPPER,Yager,0.8181818181818182,0.45,0.6188056468963623,0.6115818181195537,0.36545023724324255
df_wine,inliers,FOIL,Dempster,0.7286324786324786,0.7858347386172007,0.3337770104408264,0.5426409606346181,0.026109963420702022
df_wine,inliers,FOIL,Vote,0.6784188034188035,0.7051909892262488,0.0,1.4146219391492527,0.05431844369774426
df_wine,inliers,FOIL,Yager,0.7264957264957265,0.7845117845117845,0.39693528413772583,0.5448513204230756,0.031289384882625344
df_wine,inliers,RIPPER,Dempster,0.7318376068376068,0.7885425442291492,0.26575514674186707,0.5483369471070502,0.02999850223770991
df_wine,inliers,RIPPER,Vote,0.6068376068376068,0.6109936575052854,0.0,0.6649771051887505,0.08293014673866093
df_wine,inliers,RIPPER,Yager,0.7339743589743589,0.7947238252267106,0.3704078793525696,0.5519673305444573,0.06245524410119859
df_wine,outliers,FOIL,Dempster,0.6538461538461539,0.5,0.3792882561683655,0.6035122631549646,0.11320715980784392
df_wine,outliers,FOIL,Vote,0.6442307692307693,0.5066666666666667,0.0,2.3785428744481063,0.1563873628254144
df_wine,outliers,FOIL,Yager,0.6346153846153846,0.4864864864864865,0.4504113793373108,0.6043672573382027,0.09614087694457414
df_wine,outliers,RIPPER,Dempster,0.6442307692307693,0.5316455696202531,0.27355295419692993,0.6328990508324743,0.15495582429652008
df_wine,outliers,RIPPER,Vote,0.6634615384615384,0.2857142857142857,0.0,0.6353015342512568,0.04653159428265063
df_wine,outliers,RIPPER,Yager,0.625,0.5185185185185185,0.39081448316574097,0.6314276735333416,0.080152906249027
gas_drift,inliers,FOIL,Dempster,0.9855217174238642,0.985451854444282,0.03629528731107712,0.07955219400792607,0.025329571509277973
gas_drift,inliers,FOIL,Vote,0.9850224663005491,0.9847066399161649,0.0,0.12004396036474006,0.0049259444118390765
gas_drift,inliers,FOIL,Yager,0.9855217174238642,0.9855390345831143,0.08118713647127151,0.11356345980874026,0.06296666007354954
gas_drift,inliers,RIPPER,Dempster,0.9800299550673989,0.9791504519275631,0.03811526298522949,0.10035714543677716,0.03219620502625082
gas_drift,inliers,RIPPER,Vote,0.9735396904643036,0.9717823116730226,0.0,0.3956961065852431,0.05725221692383846
