dataset,method,acc,std_acc,min_acc,max_acc,macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,precision,std_precision,min_precision,max_precision,recall,std_recall,min_recall,max_recall,nll,std_nll,min_nll,max_nll,ece,std_ece,min_ece,max_ece,unc_mean,std_unc_mean,min_unc_mean,max_unc_mean,unc_comb,std_unc_comb,min_unc_comb,max_unc_comb,fusion_depth,std_fusion_depth,min_fusion_depth,max_fusion_depth,n_runs,n_seeds
adult,FOIL:dsgd_dempster,0.84104094148848,0.00011720649447810973,0.8408751864743909,0.8412066965025692,0.7466873346228124,0.00036003061189003187,0.7461778192735307,0.7471961392085258,0.8321552120238701,8.670902243360361e-05,0.8320332145352329,0.8322784593781234,0.7148073884272894,0.00039274693741457714,0.7142519603818172,0.7153628164727616,0.351115639836623,0.0003100561436610772,0.3505735214845825,0.3513408133353637,0.04505483786831282,0.00040581144565407566,0.0443301728469696,0.0452707080400743,0.6140052040600764,0.0008551548263302606,0.6129372485677302,0.6148119324028798,0.40438840928641284,0.0007673189922986599,0.403202246994127,0.4050888017562417,,,,,5,5
bank-full,RF,0.9062479265730399,0.0006879279449295447,0.9051199823067566,0.9069998894172288,0.7284044443689398,0.0024192210305440725,0.7246549960523525,0.731088187641474,0.791770001029567,0.00231409758404819,0.7879459118248864,0.7941796265032188,0.6930580613697942,0.002335121816749809,0.6896315515978092,0.6956157161407317,0.21080692717129632,0.004068278588002161,0.2069275190958956,0.2165909019078104,0.0077866858345227805,0.0005854144031443727,0.0072716465776308,0.0084678757051415,,,,,,,,,,,,,5,5
bank-full,RIPPER:native_ordered_rule,0.8877584872276898,0.0,0.8877584872276899,0.8877584872276899,0.5796801204911691,0.0,0.5796801204911691,0.5796801204911691,0.7422500467639357,0.0,0.7422500467639357,0.7422500467639357,0.5613185995007179,0.0,0.5613185995007179,0.5613185995007179,3.1013476094964645,0.0,3.1013476094964645,3.1013476094964645,0.11224151277131,0.0,0.11224151277131,0.11224151277131,,,,,,,,,,,,,5,5
bank-full,RIPPER:first_hit_laplace,0.8877584872276898,0.0,0.8877584872276899,0.8877584872276899,0.5796801204911691,0.0,0.5796801204911691,0.5796801204911691,0.7422500467639357,0.0,0.7422500467639357,0.7422500467639357,0.5613185995007179,0.0,0.5613185995007179,0.5613185995007179,0.3784869198509025,0.0,0.3784869198509025,0.3784869198509025,0.0596099338249418,0.0,0.0596099338249418,0.0596099338249418,,,,,,,,,,,,,5,5
bank-full,RIPPER:weighted_vote,0.8968262744664381,0.0,0.8968262744664381,0.8968262744664381,0.6710134238433334,0.0,0.6710134238433334,0.6710134238433334,0.769586254344448,0.0,0.769586254344448,0.769586254344448,0.6345086427410563,0.0,0.6345086427410563,0.6345086427410563,0.9102959164634751,0.0,0.910295916463475,0.910295916463475,0.0408483682012646,0.0,0.0408483682012646,0.0408483682012646,,,,,,,,,,,,,5,5
bank-full,RIPPER:dsgd_dempster,0.8960300785137676,0.00034440808365358546,0.8956098639831914,0.8963839433816212,0.7230993333396499,0.004318724096943617,0.7194481442641827,0.728131325931431,0.7497914332507145,0.0007598587310896354,0.7487878204029736,0.7505518074017334,0.7035071193269989,0.006386426869596968,0.6982481330187864,0.7109230089972574,0.2409536224906827,0.0008251230936546995,0.2396657587643214,0.2417658178503279,0.0210222693433294,0.002268080463397123,0.0178801247171423,0.0238035566708215,0.7058359460415176,0.0022354685048485614,0.703331521060843,0.708017436254213,0.2236908910508802,0.002276382756162875,0.2214154689789559,0.226898703129698,,,,,5,5
bank-full,FOIL:native_ordered_rule,0.8969368572376425,0.0,0.8969368572376424,0.8969368572376424,0.646599739824613,0.0,0.646599739824613,0.646599739824613,0.7876217612329384,0.0,0.7876217612329384,0.7876217612329384,0.6103828894678467,0.0,0.6103828894678467,0.6103828894678467,2.847739873941663,0.0,2.847739873941663,2.847739873941663,0.1030631427613575,0.0,0.1030631427613575,0.1030631427613575,,,,,,,,,,,,,5,5
bank-full,FOIL:first_hit_laplace,0.8969368572376425,0.0,0.8969368572376424,0.8969368572376424,0.646599739824613,0.0,0.646599739824613,0.646599739824613,0.7876217612329384,0.0,0.7876217612329384,0.7876217612329384,0.6103828894678467,0.0,0.6103828894678467,0.6103828894678467,0.3519580183906148,0.0,0.3519580183906148,0.3519580183906148,0.0504315638149893,0.0,0.0504315638149893,0.0504315638149893,,,,,,,,,,,,,5,5
bank-full,FOIL:weighted_vote,0.8984850160345019,0.0,0.8984850160345018,0.8984850160345018,0.6626394595907332,0.0,0.6626394595907332,0.6626394595907332,0.7875303465139545,0.0,0.7875303465139545,0.7875303465139545,0.6243786494762746,0.0,0.6243786494762746,0.6243786494762746,1.7449611124848192,0.0,1.7449611124848192,1.7449611124848192,0.070725391724363,0.0,0.070725391724363,0.070725391724363,,,,,,,,,,,,,5,5
bank-full,FOIL:dsgd_dempster,0.8986398319141877,0.00042542041494349935,0.8979321021784806,0.899037929890523,0.6947918105694723,0.0009237649875086854,0.693394039191998,0.69572482092239,0.7686214513967711,0.0018973301162380591,0.7654272793199466,0.7703606174601115,0.65972393890719,0.0006165514671373024,0.6589132151138772,0.6603593339591128,0.2423482405247975,0.0007073965830286206,0.241306058598085,0.243259933222612,0.02874528686135876,0.0010350547832931921,0.0272797211227894,0.0297675242738182,0.5640433392872539,0.0012536682815852004,0.5623826985311801,0.5656208643549894,0.22355396156640234,0.001376333275269801,0.2216874636475216,0.2255205700371704,,,,,5,5
breast-cancer-wisconsin,RF,0.9635036496350364,0.0,0.9635036496350364,0.9635036496350364,0.9604617604617603,0.0,0.9604617604617603,0.9604617604617603,0.954970360237118,0.0,0.954970360237118,0.954970360237118,0.9671114232209737,0.0,0.9671114232209738,0.9671114232209738,0.11211433831402337,0.0022406318738652058,0.1093832791246422,0.1155333615924603,0.02113138686067296,0.005277919932009142,0.0177919708022847,0.0304927007292918,,,,,,,,,,,,,5,5
