dataset,inducer,seed,system,acc,macro_f1,precision,recall,nll,ece,unc_mean,unc_comb,fusion_depth,method
breast-cancer-wisconsin,FOIL,42,first_hit_laplace,0.948905109489051,0.943028574823264,0.9506038647342996,0.9366807116104868,0.2218084826419529,0.0415535601101482,,,,FOIL:first_hit_laplace
breast-cancer-wisconsin,FOIL,42,weighted_vote,0.978102189781022,0.9760615062030404,0.9739100185528756,0.9783473782771536,0.2440397707998311,0.0280522510658028,,,,FOIL:weighted_vote
breast-cancer-wisconsin,FOIL,42,dsgd_dempster,0.9854014598540146,0.9841141001855288,0.98,0.9887640449438202,0.0590850501082271,0.0273074863953793,0.1098038184789628,0.0244564566298992,5.518248175182482,FOIL:dsgd_dempster
breast-cancer-wisconsin,FOIL,42,dsgd_yager,0.978102189781022,0.9760615062030404,0.9739100185528756,0.9783473782771536,0.0551222496097426,0.0226958320679767,0.1098038184789628,0.0553388659322261,5.518248175182482,FOIL:dsgd_yager
df_wine,RF,42,rf,0.803076923076923,0.797270955165692,0.8028138335264008,0.794475308344807,0.4139976680832777,0.0306500000000207,,,,RF
df_wine,RIPPER,42,first_hit_laplace,0.5123076923076924,0.4941957085801395,0.5607780612244898,0.545878626240841,0.8197196491015232,0.2587043179713202,,,,RIPPER:first_hit_laplace
df_wine,RIPPER,42,weighted_vote,0.52,0.4933786994221819,0.5885615527016083,0.5589586081397252,9.12707608704447,0.3808224720123747,,,,RIPPER:weighted_vote
df_wine,RIPPER,42,dsgd_dempster,0.6507692307692308,0.6453977409276617,0.6451992205872472,0.6456465853400217,0.6252200549569921,0.0569180077880442,0.5531714068811674,0.3558267292609581,6.29,RIPPER:dsgd_dempster
df_wine,RIPPER,42,dsgd_yager,0.6692307692307692,0.6393836880146363,0.6752955082742317,0.6427869941556503,0.6153041354136134,0.0528127463933028,0.5531714068811674,0.3982838525795019,6.29,RIPPER:dsgd_yager
df_wine,FOIL,42,first_hit_laplace,0.6369230769230769,0.6156265112468084,0.6300212209551573,0.6168051530410837,0.7409029586511422,0.1874064712702112,,,,FOIL:first_hit_laplace
df_wine,FOIL,42,weighted_vote,0.6723076923076923,0.6543899589611479,0.6692358219707806,0.6538017157547106,1.588798592330455,0.1143382650611178,,,,FOIL:weighted_vote
